Municipality,State,Population,Contact Name,Title,Email,Phone,Website,Address,Source,Last Updated
"Abanda CDP, Alabama",Alabama,133,,,,,,,US Census API,2025-07-29 22:03:03
"Abbeville city, Alabama",Alabama,2358,,,,,,,US Census API,2025-07-29 22:03:03
"Adamsville city, Alabama",Alabama,4366,,,,,,,US Census API,2025-07-29 22:03:03
"Addison town, Alabama",Alabama,659,,,,,,,US Census API,2025-07-29 22:03:03
"Akron town, Alabama",Alabama,225,,,,,,,US Census API,2025-07-29 22:03:03
"Alabaster city, Alabama",Alabama,33284,,,,,,,US Census API,2025-07-29 22:03:03
"Albertville city, Alabama",Alabama,22386,,,,,,,US Census API,2025-07-29 22:03:03
"Alexander City city, Alabama",Alabama,14843,,,,,,,US Census API,2025-07-29 22:03:03
"Alexandria CDP, Alabama",Alabama,4032,,,,,,,US Census API,2025-07-29 22:03:03
"Aliceville city, Alabama",Alabama,2177,,,,,,,US Census API,2025-07-29 22:03:03
"Allgood town, Alabama",Alabama,548,,,,,,,US Census API,2025-07-29 22:03:03
"Altoona town, Alabama",Alabama,948,,,,,,,US Census API,2025-07-29 22:03:03
"Andalusia city, Alabama",Alabama,8805,,,,,,,US Census API,2025-07-29 22:03:03
"Anderson town, Alabama",Alabama,254,,,,,,,US Census API,2025-07-29 22:03:03
"Anniston city, Alabama",Alabama,21564,,,,,,,US Census API,2025-07-29 22:03:03
"Arab city, Alabama",Alabama,8461,,,,,,,US Census API,2025-07-29 22:03:03
"Ardmore town, Alabama",Alabama,1321,,,,,,,US Census API,2025-07-29 22:03:03
"Argo town, Alabama",Alabama,4368,,,,,,,US Census API,2025-07-29 22:03:03
"Ariton town, Alabama",Alabama,662,,,,,,,US Census API,2025-07-29 22:03:03
"Arley town, Alabama",Alabama,330,,,,,,,US Census API,2025-07-29 22:03:03
"Ashford town, Alabama",Alabama,2246,,,,,,,US Census API,2025-07-29 22:03:03
"Ashland town, Alabama",Alabama,1984,,,,,,,US Census API,2025-07-29 22:03:03
"Ashville city, Alabama",Alabama,2346,,,,,,,US Census API,2025-07-29 22:03:03
"Athens city, Alabama",Alabama,25406,,,,,,,US Census API,2025-07-29 22:03:03
"Atmore city, Alabama",Alabama,8391,,,,,,,US Census API,2025-07-29 22:03:03
"Attalla city, Alabama",Alabama,5827,,,,,,,US Census API,2025-07-29 22:03:03
"Autaugaville town, Alabama",Alabama,795,,,,,,,US Census API,2025-07-29 22:03:03
"Avon town, Alabama",Alabama,465,,,,,,,US Census API,2025-07-29 22:03:03
"Axis CDP, Alabama",Alabama,561,,,,,,,US Census API,2025-07-29 22:03:03
"Babbie town, Alabama",Alabama,625,,,,,,,US Census API,2025-07-29 22:03:03
"Baileyton town, Alabama",Alabama,649,,,,,,,US Census API,2025-07-29 22:03:03
"Bakerhill town, Alabama",Alabama,211,,,,,,,US Census API,2025-07-29 22:03:04
"Ballplay CDP, Alabama",Alabama,1437,,,,,,,US Census API,2025-07-29 22:03:04
"Banks town, Alabama",Alabama,156,,,,,,,US Census API,2025-07-29 22:03:04
"Bay Minette city, Alabama",Alabama,8107,,,,,,,US Census API,2025-07-29 22:03:04
"Bayou La Batre city, Alabama",Alabama,2204,,,,,,,US Census API,2025-07-29 22:03:04
"Bear Creek town, Alabama",Alabama,1047,,,,,,,US Census API,2025-07-29 22:03:04
"Beatrice town, Alabama",Alabama,204,,,,,,,US Census API,2025-07-29 22:03:04
