municipality,state,population,likely_website,likely_email,alt_emails,score,priority,target_persona,pain_points,value_proposition,next_action
"Laurinburg city, North Carolina",North Carolina,14978,"https://www.laurinburg,northcarolina.northcarolina.gov","clerk@laurinburg,northcarolina.gov","info@laurinburg,northcarolina.gov; mayor@laurinburg,northcarolina.gov; citymanager@laurinburg,northcarolina.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"California City city, California",California,14973,"https://www.californiacity,california.california.gov","clerk@californiacity,california.gov","info@californiacity,california.gov; mayor@californiacity,california.gov; citymanager@californiacity,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Hereford city, Texas",Texas,14972,"https://www.hereford,texas.texas.gov","clerk@hereford,texas.gov","info@hereford,texas.gov; mayor@hereford,texas.gov; citymanager@hereford,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Palmer Ranch CDP, Florida",Florida,14966,"https://www.palmerranch,florida.florida.gov","clerk@palmerranch,florida.gov","info@palmerranch,florida.gov; mayor@palmerranch,florida.gov; citymanager@palmerranch,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"West University Place city, Texas",Texas,14955,"https://www.westuniversityplace,texas.texas.gov","clerk@westuniversityplace,texas.gov","info@westuniversityplace,texas.gov; mayor@westuniversityplace,texas.gov; citymanager@westuniversityplace,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Gladeview CDP, Florida",Florida,14927,"https://www.gladeview,florida.florida.gov","clerk@gladeview,florida.gov","info@gladeview,florida.gov; mayor@gladeview,florida.gov; citymanager@gladeview,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Oldsmar city, Florida",Florida,14898,"https://www.oldsmar,florida.florida.gov","clerk@oldsmar,florida.gov","info@oldsmar,florida.gov; mayor@oldsmar,florida.gov; citymanager@oldsmar,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Canyon city, Texas",Texas,14836,"https://www.canyon,texas.texas.gov","clerk@canyon,texas.gov","info@canyon,texas.gov; mayor@canyon,texas.gov; citymanager@canyon,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Mineral Wells city, Texas",Texas,14820,"https://www.mineralwells,texas.texas.gov","clerk@mineralwells,texas.gov","info@mineralwells,texas.gov; mayor@mineralwells,texas.gov; citymanager@mineralwells,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Key Biscayne village, Florida",Florida,14809,"https://www.keybiscaynevillage,florida.florida.gov","clerk@keybiscaynevillage,florida.gov","info@keybiscaynevillage,florida.gov; mayor@keybiscaynevillage,florida.gov; citymanager@keybiscaynevillage,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Red Bluff city, California",California,14710,"https://www.redbluff,california.california.gov","clerk@redbluff,california.gov","info@redbluff,california.gov; mayor@redbluff,california.gov; citymanager@redbluff,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Coto de Caza CDP, California",California,14710,"https://www.cotodecaza,california.california.gov","clerk@cotodecaza,california.gov","info@cotodecaza,california.gov; mayor@cotodecaza,california.gov; citymanager@cotodecaza,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Alpine CDP, California",California,14696,"https://www.alpine,california.california.gov","clerk@alpine,california.gov","info@alpine,california.gov; mayor@alpine,california.gov; citymanager@alpine,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Falls Church city, Virginia",Virginia,14658,"https://www.fallschurch,virginia.virginia.gov","clerk@fallschurch,virginia.gov","info@fallschurch,virginia.gov; mayor@fallschurch,virginia.gov; citymanager@fallschurch,virginia.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Forest City CDP, Florida",Florida,14623,"https://www.forestcity,florida.florida.gov","clerk@forestcity,florida.gov","info@forestcity,florida.gov; mayor@forestcity,florida.gov; citymanager@forestcity,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Gonzalez CDP, Florida",Florida,14586,"https://www.gonzalez,florida.florida.gov","clerk@gonzalez,florida.gov","info@gonzalez,florida.gov; mayor@gonzalez,florida.gov; citymanager@gonzalez,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Reidsville city, North Carolina",North Carolina,14583,"https://www.reidsville,northcarolina.northcarolina.gov","clerk@reidsville,northcarolina.gov","info@reidsville,northcarolina.gov; mayor@reidsville,northcarolina.gov; citymanager@reidsville,northcarolina.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Parlier city, California",California,14576,"https://www.parlier,california.california.gov","clerk@parlier,california.gov","info@parlier,california.gov; mayor@parlier,california.gov; citymanager@parlier,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Elfers CDP, Florida",Florida,14573,"https://www.elfers,florida.florida.gov","clerk@elfers,florida.gov","info@elfers,florida.gov; mayor@elfers,florida.gov; citymanager@elfers,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Elk Plain CDP, Washington",Washington,14534,"https://www.elkplain,washington.washington.gov","clerk@elkplain,washington.gov","info@elkplain,washington.gov; mayor@elkplain,washington.gov; citymanager@elkplain,washington.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Frederick town, Colorado",Colorado,14513,"https://www.frederick,colorado.colorado.gov","clerk@frederick,colorado.gov","info@frederick,colorado.gov; mayor@frederick,colorado.gov; citymanager@frederick,colorado.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Dumas city, Texas",Texas,14501,"https://www.dumas,texas.texas.gov","clerk@dumas,texas.gov","info@dumas,texas.gov; mayor@dumas,texas.gov; citymanager@dumas,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Lemon Hill CDP, California",California,14496,"https://www.lemonhill,california.california.gov","clerk@lemonhill,california.gov","info@lemonhill,california.gov; mayor@lemonhill,california.gov; citymanager@lemonhill,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Bellair-Meadowbrook Terrace CDP, Florida",Florida,14482,"https://www.bellair-meadowbrookterrace,florida.florida.gov","clerk@bellair-meadowbrookterrace,florida.gov","info@bellair-meadowbrookterrace,florida.gov; mayor@bellair-meadowbrookterrace,florida.gov; citymanager@bellair-meadowbrookterrace,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Los Osos CDP, California",California,14465,"https://www.lososos,california.california.gov","clerk@lososos,california.gov","info@lososos,california.gov; mayor@lososos,california.gov; citymanager@lososos,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Piney Green CDP, North Carolina",North Carolina,14386,"https://www.pineygreen,northcarolina.northcarolina.gov","clerk@pineygreen,northcarolina.gov","info@pineygreen,northcarolina.gov; mayor@pineygreen,northcarolina.gov; citymanager@pineygreen,northcarolina.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Federal Heights city, Colorado",Colorado,14382,"https://www.federalheights,colorado.colorado.gov","clerk@federalheights,colorado.gov","info@federalheights,colorado.gov; mayor@federalheights,colorado.gov; citymanager@federalheights,colorado.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
